45, Shaquille Quarterman, Miami
66, Michael Pinckney, Miami
160, Jonathan Garvin, Miami
179, Scottie Phillips, Mississippi
234, Jordan Johnson, Central Florida
235, Rashad Weaver, Pittsburgh
246, McKenzie Milton, Central Florida
247, Khalil Brooks, MTSU
248, Richie Grant, Central Florida
269, Jake Verity, Eastern Carolina
